generation,scenario,seed,best,median,mean,arrival_ratio
0,Shuttle,11,2.26338,0.124296,-0.090982,0
1,Shuttle,11,1.39719,0.182768,0.0463968,0
2,Shuttle,11,2.20359,0.201063,0.0831445,0.000244141
3,Shuttle,11,2.95968,0.215734,0.0642379,0.000488281
4,Shuttle,11,2.56065,0.274158,0.135949,0.000244141
5,Shuttle,11,1.50356,0.254469,0.106261,0
6,Shuttle,11,1.87546,0.266917,0.163272,0
7,Shuttle,11,2.15921,0.291876,0.153874,0
8,Shuttle,11,1.60723,0.278277,0.151667,0
9,Shuttle,11,3.74135,0.283115,0.158794,0.000488281
10,Shuttle,11,2.19787,0.271128,0.156332,0
11,Shuttle,11,2.79924,0.291118,0.151227,0.000244141
12,Shuttle,11,2.68564,0.309802,0.15057,0
13,Shuttle,11,3.16181,0.292742,0.15498,0.000244141
14,Shuttle,11,4.19136,0.279427,0.1682,0.000732422
15,Shuttle,11,2.8381,0.276732,0.118162,0.000732422
16,Shuttle,11,3.42297,0.340202,0.182743,0.000244141
17,Shuttle,11,3.7546,0.418041,0.331768,0.000732422
18,Shuttle,11,4.76801,0.430545,0.323235,0.00170898
19,Shuttle,11,5.56396,0.578971,0.553469,0.00219727
20,Shuttle,11,4.66474,0.722302,0.640329,0.00292969
21,Shuttle,11,3.64549,0.792514,0.720353,0.00195312
22,Shuttle,11,4.59548,0.732346,0.626777,0.00244141
23,Shuttle,11,4.23772,0.834703,0.72371,0.00170898
24,Shuttle,11,4.49615,0.765236,0.677644,0.00219727
25,Shuttle,11,5.5388,0.746085,0.643317,0.00195312
26,Shuttle,11,5.31966,0.837553,0.687542,0.00268555
27,Shuttle,11,5.72214,0.773849,0.681789,0.00268555
28,Shuttle,11,4.66138,0.78737,0.718822,0.00219727
29,Shuttle,11,6.0333,0.790552,0.70963,0.00219727
30,Shuttle,11,3.75939,0.82564,0.713323,0.0012207
31,Shuttle,11,3.38909,0.814335,0.719398,0.0012207
32,Shuttle,11,4.82817,0.779423,0.781393,0.00292969
33,Shuttle,11,5.69058,0.771215,0.62313,0.00244141
34,Shuttle,11,4.76865,0.785715,0.722869,0.00268555
35,Shuttle,11,4.23761,0.809034,0.693952,0.00292969
36,Shuttle,11,4.44073,0.731445,0.65067,0.00268555
37,Shuttle,11,3.85763,0.821545,0.745818,0.00390625
38,Shuttle,11,6.44267,0.880821,0.801085,0.00463867
39,Shuttle,11,4.9547,0.911963,0.797522,0.00610352
40,Shuttle,11,5.76105,0.798801,0.685865,0.00341797
41,Shuttle,11,6.20886,0.866119,0.861869,0.00390625
42,Shuttle,11,7.96961,0.975633,0.892311,0.00854492
43,Shuttle,11,7.65998,0.888767,0.828167,0.00854492
44,Shuttle,11,7.64072,1.14248,1.05163,0.0109863
45,Shuttle,11,7.6926,1.05384,1.03251,0.0141602
46,Shuttle,11,8.00229,1.07518,1.02256,0.0129395
47,Shuttle,11,6.5843,1.04036,0.97481,0.0114746
48,Shuttle,11,7.75167,0.797055,0.839328,0.00854492
49,Shuttle,11,7.88965,0.879347,0.859995,0.0114746
50,Shuttle,11,8.14733,1.07762,1.07219,0.0153809
51,Shuttle,11,8.25508,0.924509,0.961018,0.0151367
52,Shuttle,11,8.06058,1.04491,1.06673,0.0175781
53,Shuttle,11,7.80212,0.850548,0.971022,0.0170898
54,Shuttle,11,6.72802,1.05362,0.983304,0.0141602
55,Shuttle,11,8.07155,1.04662,1.01495,0.0146484
56,Shuttle,11,8.04095,0.976857,0.974258,0.0195312
57,Shuttle,11,7.81909,0.901419,1.02873,0.0178223
58,Shuttle,11,6.57742,1.07617,1.09563,0.0214844
59,Shuttle,11,7.76736,1.05077,1.08609,0.0202637
60,Shuttle,11,8.1557,1.04688,1.06849,0.026123
61,Shuttle,11,8.17885,0.948779,1.06528,0.0231934
62,Shuttle,11,8.25946,0.943111,1.03838,0.0266113
63,Shuttle,11,8.11152,1.02655,1.14297,0.0270996
64,Shuttle,11,8.64253,1.12055,1.17427,0.0290527
65,Shuttle,11,7.92608,1.10159,1.29897,0.034668
66,Shuttle,11,7.90406,1.02505,1.09624,0.0244141
67,Shuttle,11,6.84434,0.991371,1.0379,0.0229492
68,Shuttle,11,8.37055,1.03567,1.21982,0.0349121
69,Shuttle,11,8.48904,1.03668,1.15931,0.032959
70,Shuttle,11,8.58015,0.982947,1.04184,0.0275879
71,Shuttle,11,7.99021,1.16851,1.20868,0.0292969
72,Shuttle,11,7.74282,0.953752,1.1346,0.03125
73,Shuttle,11,8.37934,1.08399,1.17823,0.029541
74,Shuttle,11,8.21876,1.10248,1.22117,0.0305176
75,Shuttle,11,8.2564,1.00868,1.23307,0.0332031
76,Shuttle,11,8.60972,1.03554,1.31803,0.0366211
77,Shuttle,11,7.90261,1.05281,1.10999,0.0280762
78,Shuttle,11,7.6129,0.961765,0.98643,0.0244141
79,Shuttle,11,8.42332,1.03771,1.19705,0.0358887
80,Shuttle,11,8.36433,1.01997,1.23196,0.0351562
81,Shuttle,11,8.26964,1.17535,1.25902,0.0336914
82,Shuttle,11,8.41271,1.06848,1.23976,0.0388184
83,Shuttle,11,8.76696,1.00128,1.16773,0.0314941
84,Shuttle,11,8.49411,1.13108,1.26884,0.0317383
85,Shuttle,11,8.60709,1.00091,1.25964,0.0375977
86,Shuttle,11,8.29603,1.12903,1.36602,0.041748
87,Shuttle,11,8.23353,1.17328,1.40312,0.0437012
88,Shuttle,11,8.16522,1.14029,1.42212,0.0422363
89,Shuttle,11,8.32744,1.17921,1.47036,0.0478516
90,Shuttle,11,8.37492,1.13326,1.35021,0.0427246
91,Shuttle,11,8.45201,1.15188,1.57797,0.0588379
92,Shuttle,11,8.3778,1.07987,1.41173,0.046875
93,Shuttle,11,8.18887,0.86691,1.2952,0.0449219
94,Shuttle,11,8.36521,1.10234,1.38507,0.0427246
95,Shuttle,11,8.78092,1.18847,1.47693,0.0480957
96,Shuttle,11,8.48856,1.13994,1.45847,0.0471191
97,Shuttle,11,8.56161,1.07572,1.50657,0.0559082
98,Shuttle,11,8.42337,0.992244,1.46948,0.0544434
99,Shuttle,11,8.41319,1.13615,1.47597,0.0500488
100,Shuttle,11,8.67172,1.05932,1.34556,0.0412598
101,Shuttle,11,8.33781,1.10283,1.46842,0.0390625
