generation,scenario,seed,best,median,mean,arrival_ratio
0,Shuttle,23,1.98252,0.103175,-0.0511959,0.000244141
1,Shuttle,23,2.83432,0.186127,0.0803414,0.000244141
2,Shuttle,23,2.96044,0.181885,0.0934171,0.000488281
3,Shuttle,23,3.26015,0.181325,0.114419,0.000488281
4,Shuttle,23,3.52661,0.17079,0.108605,0.000244141
5,Shuttle,23,3.29446,0.273199,0.188358,0.0012207
6,Shuttle,23,3.45745,0.278983,0.209943,0.000976562
7,Shuttle,23,4.77894,0.372394,0.265863,0.00170898
8,Shuttle,23,3.13642,0.432877,0.313331,0.000488281
9,Shuttle,23,2.68686,0.495188,0.325799,0.000488281
10,Shuttle,23,3.76616,0.60015,0.400643,0.00146484
11,Shuttle,23,3.78056,0.660186,0.434873,0.00146484
12,Shuttle,23,2.93616,0.652442,0.465895,0.00268555
13,Shuttle,23,3.83166,0.61656,0.448711,0.00146484
14,Shuttle,23,3.02269,0.675769,0.477466,0.000488281
15,Shuttle,23,2.99536,0.686178,0.490054,0.000976562
16,Shuttle,23,3.99213,0.659667,0.506681,0.00146484
17,Shuttle,23,3.01189,0.67737,0.469566,0.000488281
18,Shuttle,23,3.42624,0.682265,0.490781,0.0012207
19,Shuttle,23,2.8802,0.713395,0.437855,0.0012207
20,Shuttle,23,3.5019,0.706899,0.453196,0.0012207
21,Shuttle,23,2.8071,0.708321,0.464207,0.000488281
22,Shuttle,23,4.37962,0.628579,0.383572,0.000976562
23,Shuttle,23,2.54187,0.641235,0.384537,0.000244141
24,Shuttle,23,2.32638,0.668287,0.378065,0.000488281
25,Shuttle,23,4.3467,0.677426,0.432678,0.00146484
26,Shuttle,23,2.42498,0.635938,0.368958,0.000488281
27,Shuttle,23,3.4292,0.68849,0.503873,0.00292969
28,Shuttle,23,2.99861,0.690383,0.45116,0.000732422
29,Shuttle,23,3.13088,0.735083,0.47945,0.000976562
30,Shuttle,23,3.13881,0.628065,0.413909,0.000976562
31,Shuttle,23,3.35389,0.690091,0.508499,0.000976562
32,Shuttle,23,3.37348,0.694224,0.472584,0.0012207
33,Shuttle,23,4.72581,0.642009,0.428911,0.00195312
34,Shuttle,23,3.40402,0.666998,0.409131,0.000976562
35,Shuttle,23,2.89088,0.676102,0.473988,0.000732422
36,Shuttle,23,2.71009,0.694897,0.467025,0.000488281
37,Shuttle,23,3.23132,0.669504,0.458804,0.000732422
38,Shuttle,23,2.90688,0.71441,0.455242,0.00146484
39,Shuttle,23,3.02497,0.677921,0.472494,0.00170898
40,Shuttle,23,3.32352,0.684316,0.448205,0.0012207
41,Shuttle,23,4.18479,0.749994,0.553402,0.00146484
42,Shuttle,23,3.26594,0.713862,0.559163,0.000732422
43,Shuttle,23,3.36818,0.707755,0.583724,0.000732422
44,Shuttle,23,4.4546,0.692242,0.55719,0.0012207
45,Shuttle,23,3.01535,0.675943,0.507924,0.0012207
46,Shuttle,23,5.78872,0.703718,0.52545,0.00268555
47,Shuttle,23,4.20025,0.705124,0.502522,0.0012207
48,Shuttle,23,4.14728,0.705015,0.523584,0.00244141
49,Shuttle,23,5.79658,0.704069,0.651821,0.00366211
50,Shuttle,23,5.019,0.713865,0.598324,0.00390625
51,Shuttle,23,6.08156,0.834208,0.783689,0.00683594
52,Shuttle,23,4.27683,0.806623,0.744591,0.00415039
53,Shuttle,23,7.07753,0.922748,0.857121,0.0090332
54,Shuttle,23,6.32419,0.833823,0.827223,0.0078125
